id;english;turkish;level;created_at;updated_at
1b2ff9ac-6520-4587-8278-570888f27b41;teacher;öğretmen;A1;2025-11-16 11:17:15.490021+00;2025-11-16 11:17:15.490021+00
25ba5940-9e93-4af6-a08e-90d5bf790d12;write;yazmak;A1;2025-11-16 11:17:43.014423+00;2025-11-16 11:17:43.014423+00
65cedc82-9117-4944-a500-3c0e790fba0d;article;madde;A1;2025-11-16 11:18:03.294308+00;2025-11-16 11:18:03.294308+00
c805c67c-cddd-42ca-bcd6-2394663b698c;classroom;sınıf odası;A1;2025-11-16 11:18:26.535883+00;2025-11-16 11:18:26.535883+00
a4d2ecee-c18d-40f2-b524-aa0c444cb774;exam;sınav;A2;2025-11-16 11:19:00.84066+00;2025-11-16 11:19:00.84066+00
98a74d99-efd6-410a-be2b-1d263e673a26;language;dil;A1;2025-11-16 11:19:17.014525+00;2025-11-16 11:19:17.014525+00
cab93cd9-7c4c-48f2-ab3a-b94ffb8fe5fb;library;kütüphane;A1;2025-11-16 11:19:35.264115+00;2025-11-16 11:19:35.264115+00
1b492159-cf1a-46e3-b9ce-4da52fce0815;pencil;kurşun kalem;A1;2025-11-16 11:20:05.699229+00;2025-11-16 11:20:05.699229+00
1fc7a407-daf3-47c7-9f6c-67ffee59c2cb;read;okumak;A1;2025-11-16 11:20:29.721992+00;2025-11-16 11:20:29.721992+00
cb1caca5-37da-4e59-9111-b135e9a04ca6;science;bilim;A2;2025-11-16 11:20:46.511598+00;2025-11-16 11:20:46.511598+00
07f8e6b0-aecf-4c23-aba8-c58e191ed29b;student;öğrenci;A1;2025-11-16 11:21:04.534196+00;2025-11-16 11:21:04.534196+00
13edc4a5-dc59-46f9-828f-1c601ac05362;test;test;A1;2025-11-16 11:21:16.927358+00;2025-11-16 11:21:16.927358+00
77e24c56-c0ea-411f-b488-ef2b2a45c476;writer;yazar;A1;2025-11-16 11:21:31.461372+00;2025-11-16 11:21:31.461372+00
90766dd7-e565-4c17-9266-42175190301b;book;kitap;A1;2025-11-16 12:26:26.437807+00;2025-11-16 12:26:26.437807+00
68d40854-c1e9-4425-9e69-042b53613a1c;collage;kolej;B2;2025-11-16 12:26:42.217933+00;2025-11-16 12:26:42.217933+00
